Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish)
IA;1000000179;Laitila;Venno 1;KM;14415;;6764758;3213213;17,5;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;1;FALSE;;;;;;;Raunio 2
IA;1000000179;Laitila;Venno 1;KM;14415;;6764758;3213213;17,5;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;2;FALSE;;;;;;;Paloja, raunio 1
IA;1000006982;H„meenlinna;Ylitalo;KM;19168;1;6751002;3360215;95;Clay artefacts;"Savikiekko; palkeiden suuosa";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;2;TRUE;111;98;41;;;;Renko, perunamaasta. Toine puoli tasainen ja se aivan palanut ja sintrantunut. Toinen puoli kupera ja sill„ puolella reik„ leve„mpi. Silt„ puolelta vain v„h„n tummunut, mutta ei merkkej„ niin kovasta kuumuudesta.
IA;1000006982;H„meenlinna;Ylitalo;KM;19168;1;6751002;3360215;95;Clay artefacts;"Savikiekko; palkeiden suuosa";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;2;TRUE;111;98;41;;;;Renko, perunamaasta. Toine puoli tasainen ja se aivan palanut ja sintrantunut. Toinen puoli kupera ja sill„ puolella reik„ leve„mpi. Silt„ puolelta vain v„h„n tummunut, mutta ei merkkej„ niin kovasta kuumuudesta.
IA;102010011;Huittinen;Virkonm„ki;KM;19863;3;6795247;3269534;50;Clay artefacts;"Savikiekko; pullea";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;1;TRUE;105;105;61;;;;Py”re„, pullea ja painava
IA;102010011;Huittinen;Virkonm„ki;KM;19863;3;6795247;3269534;50;Clay artefacts;"Savikiekko; pullea";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;1;TRUE;105;105;61;;;;Py”re„, pullea ja painava
IA;109010030;H„meenlinna;Varikkoalue 2;KM;21188;32;6768134;3364550;85,5;Clay artefacts;Saviesine;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Katkelma. Ehk„ muottiin, upokkaaseen tai valukauhaan liittyv„ kpl
IA;109010030;H„meenlinna;Varikkoalue 2;KM;21188;11;6768134;3364550;85,5;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;;;;;;;Toiselta puoletla kuonaantunut, reik„ ep„symmetrinen
IA;109010030;H„meenlinna;Varikkoalue 2;KM;21188;11;6768134;3364550;85,5;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;TRUE;;;;;;;Toiselta puoletla kuonaantunut, reik„ ep„symmetrinen
IA;109010030;H„meenlinna;Varikkoalue 2;KM;21188;32;6768134;3364550;85,5;Clay artefacts;Saviesine;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Katkelma. Ehk„ muottiin, upokkaaseen tai valukauhaan liittyv„ kpl
