Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);;Photo ID
BA;785010009;Vaala;Nimisjärvi Uusitalo;KM;4080;;;7157980;3490120;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;1;FALSE;;;;36;32;18;;;KM 4080
BA;785010011;Vaala;Nimisjärvi Järventaka;KM;7619;32;;7158350;3490210;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;1;FALSE;;;;30;27;14;;;KM 7619_32
BA;785010011;Vaala;Nimisjärvi Järventaka;KM;7619;;;7158350;3490210;123;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;;FALSE;;;;;;;Matti Huurre 16.10.1990;;KM 7619
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11594;79;;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;1;FALSE;;;;47;35;21;"""Verlorene gussform"", luultavasti fordeerattua kaularengasta varten";;KM 11594_79
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11594;83;;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;1;FALSE;;;;;;;"""Verlorene gussform"", luultavasti fordeerattua kaularengasta varten, useita paloja";;KM 11594_83
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11594;184;;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;2;FALSE;;;;76;43;22;kuonaantunut, loivat painaumat;;KM 11594_184
BA;79010001;Harjavalta;Kaunismäki A ja B;KM;11594;185;;6809580;3233211;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;2;FALSE;;;;27;22;17;kuonaantunut, pala numerosta 184?;;KM 11594_185
BA;167010003;Joensuu;Varaslampi;KM;19471;568;;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;1;FALSE;;;;56;45;23;;;KM 19471_568
BA;167010003;Joensuu;Varaslampi;KM;19471;569;;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;1;FALSE;;;;38;30;14;;;KM 19471_569
BA;167010003;Joensuu;Varaslampi;KM;19471;570;;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;1;FALSE;;;;36;27;12;;;KM 19471_570
BA;167010003;Joensuu;Varaslampi;KM;19471;1050;;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Sulatusupokkaan katkelma;1;FALSE;;;;62;40;29;;;KM 19471_1050
BA;531010035;Nakkila;Rieskaronmäki;SatM;16454;22;;6822255;3235817;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;2;FALSE;;;;51;29;12;0;;SatM 16454_22
BA;531010035;Nakkila;Rieskaronmäki;SatM;16454;55;;6822255;3235817;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;2;FALSE;;;;38;14;11;0;;SatM 16454_55
BA;531010035;Nakkila;Rieskaronmäki;SatM;16454;101;;6822255;3235817;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Clay cast;Clay cast;Valinmuotti;2;FALSE;;;;23;17;11;0;;SatM 16454_101
BA;uusi 8131;Pori;Karhijärvi;SatM;17363;;;6838129;3262563;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Clay artefacts;Crucible fragment;Crucible fragment;Upokas;0;FALSE;85;70;45;;;;0;;SatM 17363
